ogc_fid,id,cd_mun,nm_mun,sigla_uf,area_km2,mean,min,max,sum,std,median
253,365.0,3532504,Neves Paulista,SP,219.05,0.0,0.0,0.0,0.0,0.0,0.0
254,366.0,3532603,Nhandeara,SP,436.159,0.0,0.0,0.0,0.0,0.0,0.0
255,367.0,3532702,NipoÃ£,SP,137.609,0.0,0.0,0.0,0.0,0.0,0.0
256,368.0,3532801,Nova AlianÃ§a,SP,217.515,0.0,0.0,0.0,0.0,0.0,0.0
257,369.0,3532827,Nova Campina,SP,385.375,0.0,0.0,0.0,0.0,0.0,0.0
258,173.0,3515194,EspÃ­rito Santo do Turvo,SP,193.666,0.0,0.0,0.0,0.0,0.0,0.0
259,174.0,3515202,Estrela d'Oeste,SP,296.281,0.0,0.0,0.0,0.0,0.0,0.0
260,176.0,3515350,Euclides da Cunha Paulista,SP,573.894,0.0,0.0,0.0,0.0,0.0,0.0
261,177.0,3515400,Fartura,SP,429.171,0.0,0.0,0.0,0.0,0.0,0.0
262,178.0,3515509,FernandÃ³polis,SP,549.797,0.0,0.0,0.0,0.0,0.0,0.0
263,179.0,3515608,Fernando Prestes,SP,169.99,0.0,0.0,0.0,0.0,0.0,0.0
264,180.0,3515657,FernÃ£o,SP,100.504,0.0,0.0,0.0,0.0,0.0,0.0
265,185.0,3516101,FlorÃ­nea,SP,225.886,0.0,0.0,0.0,0.0,0.0,0.0
266,186.0,3516200,Franca,SP,605.679,0.0,0.0,0.0,0.0,0.0,0.0
267,187.0,3516309,Francisco Morato,SP,49.001,0.0,0.0,0.0,0.0,0.0,0.0
268,188.0,3516408,Franco da Rocha,SP,132.775,0.0,0.0,0.0,0.0,0.0,0.0
269,189.0,3516507,Gabriel Monteiro,SP,138.681,0.0,0.0,0.0,0.0,0.0,0.0
270,205.0,3518008,Guarani d'Oeste,SP,85.7,0.0,0.0,0.0,0.0,0.0,0.0
271,206.0,3518107,GuarantÃ£,SP,461.746,0.0,0.0,0.0,0.0,0.0,0.0
272,207.0,3518206,Guararapes,SP,955.637,0.0,0.0,0.0,0.0,0.0,0.0
273,208.0,3518305,Guararema,SP,270.816,0.0,0.0,0.0,0.0,0.0,0.0
274,209.0,3518404,GuaratinguetÃ¡,SP,752.636,0.0,0.0,0.0,0.0,0.0,0.0
275,210.0,3518503,GuareÃ­,SP,567.884,0.0,0.0,0.0,0.0,0.0,0.0
276,211.0,3518602,Guariba,SP,270.289,0.0,0.0,0.0,0.0,0.0,0.0
277,212.0,3518701,GuarujÃ¡,SP,144.794,0.003564453125,0.0,0.0146484375,0.0712890625,0.003909605492399606,0.0029296875
278,217.0,3519055,Holambra,SP,65.577,0.0,0.0,0.0,0.0,0.0,0.0
279,218.0,3519071,HortolÃ¢ndia,SP,62.416,0.0,0.0,0.0,0.0,0.0,0.0
280,219.0,3519105,Iacanga,SP,547.393,0.0,0.0,0.0,0.0,0.0,0.0
281,220.0,3519204,Iacri,SP,321.948,0.0,0.0,0.0,0.0,0.0,0.0
282,221.0,3519253,Iaras,SP,401.381,0.0,0.0,0.0,0.0,0.0,0.0
283,222.0,3519303,IbatÃ©,SP,290.978,0.0,0.0,0.0,0.0,0.0,0.0
284,223.0,3519402,IbirÃ¡,SP,271.912,0.0,0.0,0.0,0.0,0.0,0.0
285,224.0,3519501,Ibirarema,SP,228.23,0.0,0.0,0.0,0.0,0.0,0.0
286,225.0,3519600,Ibitinga,SP,689.391,0.0,0.0,0.0,0.0,0.0,0.0
287,238.0,3520707,IndiaporÃ£,SP,279.606,0.0,0.0,0.0,0.0,0.0,0.0
288,240.0,3520905,Ipaussu,SP,209.554,0.0,0.0,0.0,0.0,0.0,0.0
289,241.0,3521002,IperÃ³,SP,170.289,0.0,0.0,0.0,0.0,0.0,0.0
290,242.0,3521101,IpeÃºna,SP,190.01,0.0,0.0,0.0,0.0,0.0,0.0
291,243.0,3521150,IpiguÃ¡,SP,136.028,0.0,0.0,0.0,0.0,0.0,0.0
292,244.0,3521200,Iporanga,SP,1152.059,0.0,0.0,0.0,0.0,0.0,0.0
293,245.0,3521309,IpuÃ£,SP,466.461,0.0,0.0,0.0,0.0,0.0,0.0
294,246.0,3521408,IracemÃ¡polis,SP,115.118,0.0,0.0,0.0,0.0,0.0,0.0
295,247.0,3521507,IrapuÃ£,SP,257.612,0.0,0.0,0.0,0.0,0.0,0.0
296,248.0,3521606,Irapuru,SP,214.461,0.0,0.0,0.0,0.0,0.0,0.0
297,249.0,3521705,ItaberÃ¡,SP,1100.247,0.0,0.0,0.0,0.0,0.0,0.0
298,250.0,3521804,ItaÃ­,SP,1092.884,0.0,0.0,0.0,0.0,0.0,0.0
299,251.0,3521903,Itajobi,SP,502.066,0.0,0.0,0.0,0.0,0.0,0.0
300,252.0,3522000,Itaju,SP,230.355,0.0,0.0,0.0,0.0,0.0,0.0
301,253.0,3522109,ItanhaÃ©m,SP,601.711,0.02565487132352941,0.0,0.0615234375,2.1806640625,0.023768056252312344,0.0205078125
302,254.0,3522158,Itaoca,SP,183.015,0.0,0.0,0.0,0.0,0.0,0.0
303,255.0,3522208,Itapecerica da Serra,SP,150.742,0.0,0.0,0.0,0.0,0.0,0.0
304,256.0,3522307,Itapetininga,SP,1789.35,0.0,0.0,0.0,0.0,0.0,0.0
305,257.0,3522406,Itapeva,SP,1826.258,0.0,0.0,0.0,0.0,0.0,0.0
306,258.0,3522505,Itapevi,SP,82.658,0.0,0.0,0.0,0.0,0.0,0.0
307,259.0,3522604,Itapira,SP,518.416,0.0,0.0,0.0,0.0,0.0,0.0
308,263.0,3522901,ItapuÃ­,SP,140.023,0.0,0.0,0.0,0.0,0.0,0.0
309,264.0,3523008,Itapura,SP,301.653,0.0,0.0,0.0,0.0,0.0,0.0
310,265.0,3523107,Itaquaquecetuba,SP,82.622,0.0,0.0,0.0,0.0,0.0,0.0
311,266.0,3523206,ItararÃ©,SP,1003.86,0.0,0.0,0.0,0.0,0.0,0.0
312,267.0,3523305,Itariri,SP,273.667,0.001001602564102564,0.0,0.0205078125,0.0390625,0.00347200150951418,0.0
313,268.0,3523404,Itatiba,SP,322.269,0.0,0.0,0.0,0.0,0.0,0.0
314,269.0,3523503,Itatinga,SP,979.817,0.0,0.0,0.0,0.0,0.0,0.0
315,270.0,3523602,Itirapina,SP,564.603,0.0,0.0,0.0,0.0,0.0,0.0
316,374.0,3533106,Nova Guataporanga,SP,34.158,0.0,0.0,0.0,0.0,0.0,0.0
317,375.0,3533205,Nova IndependÃªncia,SP,265.029,0.0,0.0,0.0,0.0,0.0,0.0
318,376.0,3533254,Novais,SP,117.772,0.0,0.0,0.0,0.0,0.0,0.0
319,271.0,3523701,ItirapuÃ£,SP,161.118,0.0,0.0,0.0,0.0,0.0,0.0
320,272.0,3523800,Itobi,SP,138.986,0.0,0.0,0.0,0.0,0.0,0.0
321,273.0,3523909,Itu,SP,640.719,0.0,0.0,0.0,0.0,0.0,0.0
322,274.0,3524006,Itupeva,SP,200.876,0.0,0.0,0.0,0.0,0.0,0.0
323,275.0,3524105,Ituverava,SP,704.659,0.0,0.0,0.0,0.0,0.0,0.0
324,276.0,3524204,Jaborandi,SP,273.438,0.0,0.0,0.0,0.0,0.0,0.0
325,277.0,3524303,Jaboticabal,SP,706.602,0.0,0.0,0.0,0.0,0.0,0.0
326,278.0,3524402,JacareÃ­,SP,464.272,0.0,0.0,0.0,0.0,0.0,0.0
327,279.0,3524501,Jaci,SP,145.133,0.0,0.0,0.0,0.0,0.0,0.0
328,280.0,3524600,Jacupiranga,SP,704.189,0.00390625,0.0,0.0390625,0.3984375,0.009541899599775545,0.0
329,281.0,3524709,JaguariÃºna,SP,141.391,0.0,0.0,0.0,0.0,0.0,0.0
330,282.0,3524808,Jales,SP,368.574,0.0,0.0,0.0,0.0,0.0,0.0
331,283.0,3524907,Jambeiro,SP,184.413,0.0,0.0,0.0,0.0,0.0,0.0
332,284.0,3525003,Jandira,SP,17.449,0.0,0.0,0.0,0.0,0.0,0.0
333,293.0,3525854,Jumirim,SP,56.685,0.0,0.0,0.0,0.0,0.0,0.0
334,294.0,3525904,JundiaÃ­,SP,431.204,0.0,0.0,0.0,0.0,0.0,0.0
335,295.0,3526001,JunqueirÃ³polis,SP,582.565,0.0,0.0,0.0,0.0,0.0,0.0
336,296.0,3526100,JuquiÃ¡,SP,812.799,0.020240718482905984,0.0,0.1171875,2.3681640625,0.03173468527552096,0.0009765625
337,297.0,3526209,Juquitiba,SP,522.169,0.005396792763157895,0.0,0.0478515625,0.41015625,0.01051846512615392,0.0
338,298.0,3526308,Lagoinha,SP,255.472,0.003777754934210526,0.0,0.0439453125,0.1435546875,0.010087149114374657,0.0
339,299.0,3526407,Laranjal Paulista,SP,384.274,0.0,0.0,0.0,0.0,0.0,0.0
340,300.0,3526506,LavÃ­nia,SP,537.675,0.0,0.0,0.0,0.0,0.0,0.0
341,301.0,3526605,Lavrinhas,SP,167.067,0.0,0.0,0.0,0.0,0.0,0.0
342,302.0,3526704,Leme,SP,402.871,0.0,0.0,0.0,0.0,0.0,0.0
343,303.0,3526803,LenÃ§Ã³is Paulista,SP,809.541,0.0,0.0,0.0,0.0,0.0,0.0
344,304.0,3526902,Limeira,SP,580.711,0.0,0.0,0.0,0.0,0.0,0.0
345,402.0,3535705,ParaÃ­so,SP,155.186,0.0,0.0,0.0,0.0,0.0,0.0
346,403.0,3535804,Paranapanema,SP,1018.724,0.0,0.0,0.0,0.0,0.0,0.0
347,404.0,3535903,ParanapuÃ£,SP,140.354,0.0,0.0,0.0,0.0,0.0,0.0
348,405.0,3536000,ParapuÃ£,SP,366.664,0.0,0.0,0.0,0.0,0.0,0.0
349,406.0,3536109,Pardinho,SP,209.894,0.0,0.0,0.0,0.0,0.0,0.0
350,407.0,3536208,Pariquera-AÃ§u,SP,359.414,0.018995098039215685,0.0,0.076171875,0.96875,0.024427702780762246,0.0048828125
351,305.0,3527009,LindÃ³ia,SP,48.756,0.0,0.0,0.0,0.0,0.0,0.0
352,306.0,3527108,Lins,SP,570.058,0.0,0.0,0.0,0.0,0.0,0.0
353,307.0,3527207,Lorena,SP,414.16,0.0,0.0,0.0,0.0,0.0,0.0
354,308.0,3527256,Lourdes,SP,113.94,0.0,0.0,0.0,0.0,0.0,0.0
355,325.0,3528858,Marapoama,SP,111.267,0.0,0.0,0.0,0.0,0.0,0.0
356,326.0,3528908,MariÃ¡polis,SP,186.544,0.0,0.0,0.0,0.0,0.0,0.0
357,327.0,3529005,MarÃ­lia,SP,1170.515,0.0,0.0,0.0,0.0,0.0,0.0
358,437.0,3539004,Pirangi,SP,215.809,0.0,0.0,0.0,0.0,0.0,0.0
359,438.0,3539103,Pirapora do Bom Jesus,SP,108.489,0.0,0.0,0.0,0.0,0.0,0.0
360,439.0,3539202,Pirapozinho,SP,477.673,0.0,0.0,0.0,0.0,0.0,0.0
361,440.0,3539301,Pirassununga,SP,727.118,0.0,0.0,0.0,0.0,0.0,0.0
362,328.0,3529104,MarinÃ³polis,SP,77.827,0.0,0.0,0.0,0.0,0.0,0.0
363,329.0,3529203,MartinÃ³polis,SP,1253.564,0.0,0.0,0.0,0.0,0.0,0.0
364,330.0,3529302,MatÃ£o,SP,524.899,0.0,0.0,0.0,0.0,0.0,0.0
365,331.0,3529401,MauÃ¡,SP,61.937,0.010184151785714286,0.0,0.0234375,0.0712890625,0.007896747599377738,0.0078125
366,332.0,3529500,MendonÃ§a,SP,195.151,0.0,0.0,0.0,0.0,0.0,0.0
367,333.0,3529609,Meridiano,SP,228.199,0.0,0.0,0.0,0.0,0.0,0.0
368,334.0,3529658,MesÃ³polis,SP,148.636,0.0,0.0,0.0,0.0,0.0,0.0
369,335.0,3529708,MiguelÃ³polis,SP,820.849,0.0,0.0,0.0,0.0,0.0,0.0
370,441.0,3539400,Piratininga,SP,402.409,0.0,0.0,0.0,0.0,0.0,0.0
371,442.0,3539509,Pitangueiras,SP,430.638,0.0,0.0,0.0,0.0,0.0,0.0
372,443.0,3539608,Planalto,SP,289.825,0.0,0.0,0.0,0.0,0.0,0.0
373,444.0,3539707,Platina,SP,327.48,0.0,0.0,0.0,0.0,0.0,0.0
374,445.0,3539806,PoÃ¡,SP,17.264,0.0,0.0,0.0,0.0,0.0,0.0
375,336.0,3529807,Mineiros do TietÃª,SP,213.242,0.0,0.0,0.0,0.0,0.0,0.0
376,337.0,3529906,Miracatu,SP,1001.484,0.018608940972222224,0.0,0.1171875,2.6796875,0.027403696809449027,0.0029296875
377,473.0,3542107,Rafard,SP,121.645,0.0,0.0,0.0,0.0,0.0,0.0
378,474.0,3542206,Rancharia,SP,1587.498,0.0,0.0,0.0,0.0,0.0,0.0
379,338.0,3530003,Mira Estrela,SP,216.825,0.0,0.0,0.0,0.0,0.0,0.0
380,339.0,3530102,MirandÃ³polis,SP,917.694,0.0,0.0,0.0,0.0,0.0,0.0
381,340.0,3530201,Mirante do Paranapanema,SP,1238.931,0.0,0.0,0.0,0.0,0.0,0.0
382,341.0,3530300,Mirassol,SP,243.228,0.0,0.0,0.0,0.0,0.0,0.0
383,342.0,3530409,MirassolÃ¢ndia,SP,166.125,0.0,0.0,0.0,0.0,0.0,0.0
384,343.0,3530508,Mococa,SP,855.156,0.0,0.0,0.0,0.0,0.0,0.0
385,344.0,3530607,Mogi das Cruzes,SP,712.541,0.011259765625,0.0,0.103515625,1.1259765625,0.02379105683283928,0.0
386,345.0,3530706,Mogi GuaÃ§u,SP,812.753,0.0,0.0,0.0,0.0,0.0,0.0
387,346.0,3530805,Mogi Mirim,SP,497.708,0.0,0.0,0.0,0.0,0.0,0.0
388,347.0,3530904,Mombuca,SP,133.698,0.0,0.0,0.0,0.0,0.0,0.0
389,348.0,3531001,MonÃ§Ãµes,SP,104.352,0.0,0.0,0.0,0.0,0.0,0.0
390,370.0,3532843,Nova CanaÃ£ Paulista,SP,124.473,0.0,0.0,0.0,0.0,0.0,0.0
391,475.0,3542305,RedenÃ§Ã£o da Serra,SP,309.441,0.0003551136363636364,0.0,0.0087890625,0.015625,0.0014287532794239242,0.0
392,476.0,3542404,Regente FeijÃ³,SP,263.28,0.0,0.0,0.0,0.0,0.0,0.0
393,477.0,3542503,ReginÃ³polis,SP,410.406,0.0,0.0,0.0,0.0,0.0,0.0
394,478.0,3542602,Registro,SP,722.201,0.06252872242647059,0.0068359375,0.1171875,6.3779296875,0.028015420533633994,0.0615234375
395,479.0,3542701,Restinga,SP,245.746,0.0,0.0,0.0,0.0,0.0,0.0
396,480.0,3542800,Ribeira,SP,335.759,0.0007642663043478261,0.0,0.0146484375,0.03515625,0.00251801545570359,0.0
397,481.0,3542909,RibeirÃ£o Bonito,SP,471.553,0.0,0.0,0.0,0.0,0.0,0.0
398,482.0,3543006,RibeirÃ£o Branco,SP,697.5,0.0,0.0,0.0,0.0,0.0,0.0
399,483.0,3543105,RibeirÃ£o Corrente,SP,148.332,0.0,0.0,0.0,0.0,0.0,0.0
